Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Quincy Acy,SF,23,TOR,6,0,10.2,1.0,2.3,.429,0.3,0.8,.400,0.7,1.5,.444,0.8,1.3,.625,0.8,1.7,2.5,0.7,0.7,0.5,0.3,1.3,3.2
2,Steven Adams,C,20,OKC,17,2,16.9,1.5,3.1,.491,0.0,0.0,,1.5,3.1,.491,1.3,2.1,.629,2.3,2.7,5.0,0.8,0.4,0.9,0.8,2.6,4.4
3,Jeff Adrien,PF,27,CHA,13,0,13.5,1.2,2.2,.536,0.0,0.0,,1.2,2.2,.536,0.8,1.3,.588,2.1,2.7,4.8,0.3,0.3,0.8,0.2,1.4,3.1
4,Arron Afflalo,SG,28,ORL,18,18,37.2,7.8,15.9,.488,2.4,5.3,.463,5.3,10.7,.500,4.6,5.3,.854,0.3,4.3,4.6,4.2,0.9,0.1,2.3,1.8,22.6
5,Cole Aldrich,C,25,NYK,6,0,3.3,0.3,0.8,.400,0.0,0.0,,0.3,0.8,.400,0.3,0.3,1.000,0.5,1.3,1.8,0.5,0.2,0.2,0.3,0.3,1.0
6,LaMarcus Aldridge,PF,28,POR,19,19,37.2,9.7,20.5,.476,0.0,0.1,.000,9.7,20.4,.478,4.1,5.2,.786,1.9,7.8,9.7,2.6,1.2,0.9,2.0,1.8,23.5
7,Lavoy Allen,PF,24,PHI,19,2,20.1,2.2,4.7,.461,0.0,0.1,.000,2.2,4.6,.471,0.6,1.0,.579,1.8,3.4,5.2,1.0,0.4,0.6,1.0,2.0,4.9
8,Ray Allen,SG,38,MIA,16,1,25.3,3.5,7.7,.455,1.6,3.9,.397,1.9,3.8,.517,1.4,1.6,.880,0.4,2.2,2.6,2.3,0.9,0.2,1.4,1.7,9.9
9,Tony Allen,SG,32,MEM,16,16,25.3,4.3,8.0,.531,0.3,1.2,.263,3.9,6.8,.578,1.6,2.3,.722,1.4,1.9,3.3,1.9,2.3,0.5,1.9,2.2,10.4
10,Al-Farouq Aminu,SF,23,NOP,17,16,22.6,2.6,5.4,.495,0.1,0.3,.200,2.6,5.1,.512,0.8,1.6,.481,2.0,4.4,6.4,1.4,1.4,0.4,0.9,1.5,6.1
