Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Quincy Acy,SF,23,TOR,6,0,61,6,14,.429,2,5,.400,4,9,.444,5,8,.625,5,10,15,4,4,3,2,8,19
2,Steven Adams,C,20,OKC,17,2,287,26,53,.491,0,0,,26,53,.491,22,35,.629,39,46,85,14,6,16,13,45,74
3,Jeff Adrien,PF,27,CHA,13,0,176,15,28,.536,0,0,,15,28,.536,10,17,.588,27,35,62,4,4,11,3,18,40
4,Arron Afflalo,SG,28,ORL,18,18,669,140,287,.488,44,95,.463,96,192,.500,82,96,.854,5,77,82,76,16,1,41,32,406
5,Cole Aldrich,C,25,NYK,6,0,20,2,5,.400,0,0,,2,5,.400,2,2,1.000,3,8,11,3,1,1,2,2,6
6,LaMarcus Aldridge,PF,28,POR,19,19,706,185,389,.476,0,2,.000,185,387,.478,77,98,.786,36,149,185,49,23,17,38,34,447
7,Lavoy Allen,PF,24,PHI,19,2,381,41,89,.461,0,2,.000,41,87,.471,11,19,.579,34,65,99,19,7,11,19,38,93
8,Ray Allen,SG,38,MIA,16,1,405,56,123,.455,25,63,.397,31,60,.517,22,25,.880,7,35,42,37,14,3,22,27,159
9,Tony Allen,SG,32,MEM,16,16,405,68,128,.531,5,19,.263,63,109,.578,26,36,.722,22,31,53,30,37,8,30,35,167
10,Al-Farouq Aminu,SF,23,NOP,17,16,385,45,91,.495,1,5,.200,44,86,.512,13,27,.481,34,75,109,24,23,6,16,25,104
11,Louis Amundson,PF,31,NOP,11,0,98,6,14,.429,0,0,,6,14,.429,3,12,.250,8,14,22,2,3,7,5,28,15
12,Chris Andersen,C,35,MIA,18,0,307,42,68,.618,0,1,.000,42,67,.627,29,40,.725,26,51,77,8,7,19,17,41,113
13,Alan Anderson,SF,31,BRK,19,4,450,53,131,.405,26,71,.366,27,60,.450,18,24,.750,13,41,54,22,17,3,14,40,150
14,James Anderson,SG,24,PHI,19,17,621,74,170,.435,30,89,.337,44,81,.543,19,28,.679,13,57,70,37,20,9,30,34,197
15,Ryan Anderson,PF,25,NOP,9,2,317,70,143,.490,36,68,.529,34,75,.453,23,23,1.000,25,32,57,4,2,3,8,20,199
16,Giannis Antetokounmpo,SF,19,MIL,13,0,210,27,53,.509,6,15,.400,21,38,.553,8,16,.500,9,33,42,12,7,9,13,23,68
17,Carmelo Anthony,PF,29,NYK,17,17,678,158,367,.431,19,66,.288,139,301,.462,105,126,.833,48,120,168,46,18,10,45,55,440
18,Joel Anthony,C,31,MIA,6,0,30,1,4,.250,0,0,,1,4,.250,0,0,,2,3,5,0,0,4,1,4,2
19,Pero Antic,PF,31,ATL,12,0,140,15,44,.341,7,23,.304,8,21,.381,8,11,.727,12,18,30,9,3,4,6,13,45
20,Trevor Ariza,SF,28,WAS,13,13,458,74,155,.477,34,79,.430,40,76,.526,25,37,.676,18,56,74,29,26,2,28,29,207
21,Darrell Arthur,SF,25,DEN,18,0,319,50,103,.485,0,2,.000,50,101,.495,9,10,.900,11,40,51,15,8,11,14,46,109
22,Omer Asik,C,27,HOU,17,8,311,25,53,.472,0,0,,25,53,.472,25,39,.641,28,87,115,7,4,7,20,34,75
23,D.J. Augustin,PG,26,TOR,10,0,82,7,24,.292,1,11,.091,6,13,.462,6,6,1.000,0,4,4,10,1,0,9,7,21
24,Gustavo Ayon,C,28,ATL,8,2,125,15,28,.536,0,0,,15,28,.536,3,4,.750,9,22,31,4,6,4,5,17,33
25,Jeff Ayres,PF,26,SAS,17,0,205,18,40,.450,0,0,,18,40,.450,6,11,.545,11,35,46,14,5,4,16,32,42
