Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
1,Quincy Acy,PF,22,TOR,29,342,15.9,.632,.567,10.3,16.6,13.4,5.2,2.0,3.5,15.6,14.7,120,105,0.7,0.4,1.1,.157
2,Jeff Adrien,PF,26,CHA,52,713,13.4,.493,.429,10.6,21.2,15.7,8.3,1.3,3.1,13.1,15.6,105,109,0.5,0.4,1.0,.064
3,Arron Afflalo,SF,27,ORL,64,2307,13.0,.527,.478,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,102,112,1.5,0.5,2.0,.042
4,Josh Akognon,PG,26,DAL,3,9,15.3,.625,.625,0.0,12.1,6.2,19.4,0.0,0.0,0.0,20.3,130,111,0.0,0.0,0.0,.196
5,Cole Aldrich,C,24,TOT,45,388,11.1,.563,.550,8.7,26.7,17.7,3.4,0.7,4.6,20.6,12.7,102,105,0.1,0.4,0.6,.070
5,Cole Aldrich,C,24,HOU,30,213,7.3,.532,.535,6.5,23.7,15.2,4.1,0.7,3.2,23.0,12.5,92,105,-0.1,0.3,0.2,.038
5,Cole Aldrich,C,24,SAC,15,175,15.7,.598,.568,11.5,30.4,20.7,2.6,0.6,6.3,17.7,12.9,112,106,0.2,0.2,0.4,.109
6,LaMarcus Aldridge,PF,27,POR,74,2790,20.4,.530,.485,7.2,20.9,14.0,13.0,1.2,2.5,8.9,26.5,108,107,4.8,2.3,7.2,.124
7,Lavoy Allen,C,23,PHI,79,1669,11.5,.474,.454,10.5,16.5,13.4,6.7,0.8,2.6,10.3,14.8,103,106,0.9,1.6,2.5,.072
8,Ray Allen,SG,37,MIA,79,2035,14.7,.599,.555,2.6,10.1,6.6,10.2,1.7,0.6,12.5,19.3,112,107,3.4,1.9,5.4,.126
9,Tony Allen,SG,31,MEM,79,2109,13.2,.489,.447,6.6,13.8,10.2,7.6,3.1,1.7,11.5,17.8,102,98,1.0,4.1,5.1,.115
10,Al-Farouq Aminu,SF,22,NOH,76,2066,13.7,.519,.479,7.9,26.2,16.9,7.8,2.4,2.1,17.8,14.6,101,105,0.7,2.4,3.1,.073
11,Louis Amundson,C-PF,30,TOT,39,372,9.3,.392,.395,14.7,18.7,16.7,4.5,2.3,2.6,16.4,14.2,89,105,-0.3,0.4,0.1,.019
11,Louis Amundson,C,30,MIN,20,161,6.3,.342,.368,15.9,17.6,16.7,2.8,2.2,2.9,19.0,16.1,77,103,-0.4,0.2,-0.1,-0.038
11,Louis Amundson,PF,30,CHI,1,2,0.0,.000,.000,56.7,0.0,28.7,0.0,0.0,0.0,0.0,23.0,59,113,0.0,0.0,0.0,-0.274
11,Louis Amundson,C,30,NOH,18,209,11.7,.449,.429,13.4,19.7,16.5,5.8,2.3,2.4,14.0,12.7,102,106,0.1,0.2,0.3,.065
12,Chris Andersen,C,34,MIA,42,624,17.4,.631,.585,11.9,21.5,17.0,4.0,1.4,5.8,12.8,14.4,125,100,1.6,1.1,2.7,.207
13,Alan Anderson,SF,30,TOR,65,1495,12.6,.509,.460,2.7,9.2,5.9,11.7,1.7,0.4,10.5,23.6,101,110,0.8,0.8,1.6,.052
14,James Anderson,SG-SF,23,TOT,39,401,13.9,.539,.496,5.2,15.0,10.2,15.8,1.9,0.9,15.3,18.0,107,105,0.4,0.4,0.9,.106
14,James Anderson,SF,23,SAS,10,94,13.0,.587,.540,3.9,12.8,8.6,13.9,1.6,1.5,19.5,17.6,105,103,0.1,0.1,0.2,.109
14,James Anderson,SG,23,HOU,29,307,14.2,.526,.485,5.6,15.7,10.7,16.4,2.0,0.7,14.1,18.1,108,106,0.4,0.3,0.7,.105
15,Ryan Anderson,PF,24,NOH,81,2503,18.1,.548,.519,8.9,15.9,12.4,6.9,0.9,1.0,7.5,24.0,114,112,5.7,0.8,6.5,.125
